mean_prob,observed_rate,n,model
0.5610917806625366,0.021493212669683258,884,StrictTemporalGCN
0.5835441946983337,0.03619909502262444,884,StrictTemporalGCN
0.6082004308700562,0.03506787330316742,884,StrictTemporalGCN
0.6340210437774658,0.05995475113122172,884,StrictTemporalGCN
0.6595794558525085,0.09502262443438914,884,StrictTemporalGCN
0.6894496083259583,0.08710407239819004,884,StrictTemporalGCN
0.7380794286727905,0.11312217194570136,884,StrictTemporalGCN
0.00010429626127006486,0.0022598870056497176,885,StrictTemporalGraphSAGE
0.0011912259506061673,0.021493212669683258,884,StrictTemporalGraphSAGE
0.003888053121045232,0.019230769230769232,884,StrictTemporalGraphSAGE
0.010126384906470776,0.007918552036199095,884,StrictTemporalGraphSAGE
0.02496686577796936,0.01809954751131222,884,StrictTemporalGraphSAGE
0.06380049884319305,0.020361990950226245,884,StrictTemporalGraphSAGE
0.15139584243297577,0.0418552036199095,884,StrictTemporalGraphSAGE
0.32020455598831177,0.05203619909502263,884,StrictTemporalGraphSAGE
0.5580379366874695,0.06334841628959276,884,StrictTemporalGraphSAGE
0.8313965201377869,0.2149321266968326,884,StrictTemporalGraphSAGE
