model,policy,threshold,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,bootstrap_resamples,tp,fp,tn,fn
MLP,top_5pct_budget,0.5601601600646973,f1,0.37093690248565964,0.31554732945531466,0.4187155782848151,8841,1000,97,18,8415,311
MLP,top_5pct_budget,0.5601601600646973,false_positives_per_true_positive,0.18556701030927836,0.10868096357226792,0.29825700615174294,8841,1000,97,18,8415,311
MLP,top_5pct_budget,0.5601601600646973,predicted_positive_rate,0.013007578328243412,0.010745390792896731,0.015382875240357426,8841,1000,97,18,8415,311
MLP,validation_precision_at_least_80pct,0.4255286455154419,accuracy,0.9671982807374732,0.9634656713041511,0.9710468272819817,8841,1000,150,32,8401,258
MLP,validation_precision_at_least_80pct,0.4255286455154419,precision,0.8241758241758241,0.7676749893299188,0.872343139383413,8841,1000,150,32,8401,258
MLP,validation_precision_at_least_80pct,0.4255286455154419,recall,0.36764705882352944,0.3216508476918535,0.41791845064223115,8841,1000,150,32,8401,258
MLP,validation_precision_at_least_80pct,0.4255286455154419,f1,0.5084745762711864,0.45993031358885017,0.5592133140053523,8841,1000,150,32,8401,258
MLP,validation_precision_at_least_80pct,0.4255286455154419,false_positives_per_true_positive,0.21333333333333335,0.1463378975895022,0.30263459681313376,8841,1000,150,32,8401,258
MLP,validation_precision_at_least_80pct,0.4255286455154419,predicted_positive_rate,0.02058590657165479,0.01775817215247144,0.023866078497907478,8841,1000,150,32,8401,258
MLP,validation_precision_at_least_90pct,0.796535849571228,accuracy,0.954982468046601,0.950571202352675,0.9591675149869924,8841,1000,17,7,8426,391
MLP,validation_precision_at_least_90pct,0.796535849571228,precision,0.7083333333333334,0.521695652173913,0.88,8841,1000,17,7,8426,391
MLP,validation_precision_at_least_90pct,0.796535849571228,recall,0.041666666666666664,0.023073979591836737,0.06188177746346063,8841,1000,17,7,8426,391
MLP,validation_precision_at_least_90pct,0.796535849571228,f1,0.0787037037037037,0.04410879778607286,0.11453797062441518,8841,1000,17,7,8426,391
MLP,validation_precision_at_least_90pct,0.796535849571228,false_positives_per_true_positive,0.4117647058823529,0.13636363636363635,0.9168269230769229,8841,1000,17,7,8426,391
MLP,validation_precision_at_least_90pct,0.796535849571228,predicted_positive_rate,0.0027146250424160165,0.0016966406515100101,0.0038457188100893564,8841,1000,17,7,8426,391
XGBoost,default_0_50,0.5,accuracy,0.9576970930890171,0.9535120461486257,0.9617718583870603,8841,1000,200,166,8267,208
XGBoost,default_0_50,0.5,precision,0.546448087431694,0.49735124295078,0.5966532446311857,8841,1000,200,166,8267,208
XGBoost,default_0_50,0.5,recall,0.49019607843137253,0.44069126256841035,0.5374725661934965,8841,1000,200,166,8267,208
XGBoost,default_0_50,0.5,f1,0.5167958656330749,0.47196436332029557,0.5588698876763306,8841,1000,200,166,8267,208
XGBoost,default_0_50,0.5,false_positives_per_true_positive,0.83,0.6760153946937438,1.0106517589310062,8841,1000,200,166,8267,208
XGBoost,default_0_50,0.5,predicted_positive_rate,0.041398031896844247,0.03721298495645289,0.04592240696753761,8841,1000,200,166,8267,208
XGBoost,validation_max_f1,0.7839753031730652,accuracy,0.9714964370546318,0.9678741092636579,0.9750028277344192,8841,1000,194,38,8395,214
XGBoost,validation_max_f1,0.7839753031730652,precision,0.8362068965517241,0.7869466403162055,0.882358894974994,8841,1000,194,38,8395,214
XGBoost,validation_max_f1,0.7839753031730652,recall,0.47549019607843135,0.42783471331547474,0.5212778562065141,8841,1000,194,38,8395,214
XGBoost,validation_max_f1,0.7839753031730652,f1,0.60625,0.5585277758936444,0.649158288054303,8841,1000,194,38,8395,214
XGBoost,validation_max_f1,0.7839753031730652,false_positives_per_true_positive,0.1958762886597938,0.13332568807339448,0.2707341958410838,8841,1000,194,38,8395,214
XGBoost,validation_max_f1,0.7839753031730652,predicted_positive_rate,0.02624137541002149,0.023071485126116956,0.02952437507069336,8841,1000,194,38,8395,214
XGBoost,top_5pct_budget,0.9915114045143127,accuracy,0.9707046714172605,0.9671982807374732,0.9742138898314671,8841,1000,152,3,8430,256
XGBoost,top_5pct_budget,0.9915114045143127,precision,0.9806451612903225,0.9567834138486313,1.0,8841,1000,152,3,8430,256
XGBoost,top_5pct_budget,0.9915114045143127,recall,0.37254901960784315,0.32493533571203925,0.4183787515006003,8841,1000,152,3,8430,256
XGBoost,top_5pct_budget,0.9915114045143127,f1,0.5399644760213144,0.48713424012456247,0.5868984294394131,8841,1000,152,3,8430,256
XGBoost,top_5pct_budget,0.9915114045143127,false_positives_per_true_positive,0.019736842105263157,0.0,0.045168621700879756,8841,1000,152,3,8430,256
XGBoost,top_5pct_budget,0.9915114045143127,predicted_positive_rate,0.017531953398936772,0.014704218979753422,0.02024657844135279,8841,1000,152,3,8430,256
XGBoost,validation_precision_at_least_80pct,0.3727286159992218,accuracy,0.9484221241940957,0.9437818120122158,0.952946499264789,8841,1000,203,251,8182,205
XGBoost,validation_precision_at_least_80pct,0.3727286159992218,precision,0.44713656387665196,0.4030074558590508,0.492069597069597,8841,1000,203,251,8182,205
XGBoost,validation_precision_at_least_80pct,0.3727286159992218,recall,0.49754901960784315,0.4493572161582237,0.5470387945192624,8841,1000,203,251,8182,205
XGBoost,validation_precision_at_least_80pct,0.3727286159992218,f1,0.4709976798143852,0.4269368168177507,0.5106419204482333,8841,1000,203,251,8182,205
XGBoost,validation_precision_at_least_80pct,0.3727286159992218,false_positives_per_true_positive,1.2364532019704433,1.0322328629032258,1.4813437282027435,8841,1000,203,251,8182,205
XGBoost,validation_precision_at_least_80pct,0.3727286159992218,predicted_positive_rate,0.05135165705236964,0.046711344870489765,0.056215360253365,8841,1000,203,251,8182,205
XGBoost,validation_precision_at_least_90pct,0.5621950626373291,accuracy,0.9612034837688044,0.957357764958715,0.9652754213324285,8841,1000,199,134,8299,209
XGBoost,validation_precision_at_least_90pct,0.5621950626373291,precision,0.5975975975975976,0.5471601566810107,0.6485846558549798,8841,1000,199,134,8299,209
XGBoost,validation_precision_at_least_90pct,0.5621950626373291,recall,0.4877450980392157,0.4386298484563,0.5338348271446863,8841,1000,199,134,8299,209
XGBoost,validation_precision_at_least_90pct,0.5621950626373291,f1,0.5371120107962213,0.490755536257056,0.5791920529576162,8841,1000,199,134,8299,209
XGBoost,validation_precision_at_least_90pct,0.5621950626373291,false_positives_per_true_positive,0.6733668341708543,0.5418188470020817,0.8276184768578277,8841,1000,199,134,8299,209
XGBoost,validation_precision_at_least_90pct,0.5621950626373291,predicted_positive_rate,0.037665422463522225,0.03359065716547902,0.04173736002714625,8841,1000,199,134,8299,209
ExtraTrees__graph_handcrafted,default_0_50,0.5,accuracy,0.4906684764166949,0.47980997624703087,0.5008539757945933,8841,1000,344,4439,3994,64
ExtraTrees__graph_handcrafted,default_0_50,0.5,precision,0.07192138825005227,0.06494965233446494,0.07892593058093247,8841,1000,344,4439,3994,64
ExtraTrees__graph_handcrafted,default_0_50,0.5,recall,0.8431372549019608,0.8067878810812175,0.8778640824824031,8841,1000,344,4439,3994,64
ExtraTrees__graph_handcrafted,default_0_50,0.5,f1,0.13253708341360046,0.1203457784494829,0.1443876420147056,8841,1000,344,4439,3994,64
ExtraTrees__graph_handcrafted,default_0_50,0.5,false_positives_per_true_positive,12.904069767441861,11.670107238605897,14.396541586093829,8841,1000,344,4439,3994,64
